,level,sequence,psnr,bpp
0,0,beauty,34.098367843627926,0.015819572435386876
1,0,bosphorus,38.20750281651815,0.01687650938701237
2,0,honeybee,36.908256397247314,0.011996686430036287
3,0,jockey,37.71403921763102,0.026224161075073995
4,0,readysetgo,36.49578719456991,0.044051155682944466
5,0,shakendry,35.26883097330729,0.04106599845846984
6,0,yachtride,36.38350016276042,0.05835763113076795
7,1,beauty,34.41481204986572,0.0367494868462959
8,1,bosphorus,39.182796014149986,0.02152987323572606
9,1,honeybee,37.55426186879476,0.015298087406158449
10,1,jockey,38.25865994135539,0.033541354660536524
11,1,readysetgo,37.65873672485352,0.05953146362226196
12,1,shakendry,36.224772198994955,0.06008541659720149
13,1,yachtride,37.652521750132244,0.0814635802343549
14,2,beauty,34.85308184305827,0.0855008215068299
15,2,bosphorus,40.07823881149292,0.029237281531659665
16,2,honeybee,38.03309878667196,0.020092052049499484
17,2,jockey,38.73618774414062,0.04541061493359475
18,2,readysetgo,38.703492170969646,0.08144665151525426
19,2,shakendry,37.088644676208496,0.08953067922474425
20,2,yachtride,38.81275407155355,0.11376473866529425
21,3,beauty,35.46374483108521,0.1919856267732848
22,3,bosphorus,40.89208564122518,0.04236228843500585
23,3,honeybee,38.35736784617106,0.029712381366447164
24,3,jockey,39.14305550257365,0.0663804298636354
25,3,readysetgo,39.578676287333174,0.11186563680515367
26,3,shakendry,37.878779055277505,0.13978274705360946
27,3,yachtride,39.79446710586548,0.15661425408257376
28,4,beauty,36.259811566670734,0.3984936452104231
29,4,bosphorus,41.57601401011149,0.06545580074169018
30,4,honeybee,38.71648677825928,0.06841496493492598
31,4,jockey,39.582367401123044,0.11815718565575868
32,4,readysetgo,40.30574419657389,0.15629346570615416
33,4,shakendry,38.71409982045491,0.2413036810352969
34,4,yachtride,40.584470799764,0.21326466213901352
